,Unnamed: 0_x,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Unnamed: 0_y,Song,Main composer,Singer
99,124,ELEANOR RIGBY,The Beatles,Revolver,126533,2,1966,69,0.581,0.28,4,0.527,0,0.0381,0.9359999999999999,1.56e-05,0.305,0.813,137.83100000000002,1.0,ELEANOR RIGBY,McCartney,McCartney
100,125,I'M ONLY SLEEPING,The Beatles,Revolver,180320,3,1966,61,0.494,0.47,8,0.0,0,0.0301,0.21,0.0,0.28,0.698,103.477,,,,
101,126,LOVE YOU TO,The Beatles,Revolver,179826,4,1966,52,0.391,0.593,5,0.7,1,0.0413,0.7,0.00024900000000000004,0.0829,0.7070000000000001,123.986,3.0,LOVE YOU TO,Harrison,Harrison
102,127,"HERE, THERE AND EVERYWHERE",The Beatles,Revolver,144880,5,1966,61,0.29,0.247,7,0.575,1,0.0383,0.9209999999999999,0.00565,0.0917,0.36,165.361,4.0,"HERE, THERE AND EVERYWHERE",McCartney,McCartney
103,128,YELLOW SUBMARINE,The Beatles,Revolver,158880,6,1966,63,0.604,0.5489999999999999,1,0.738,1,0.0389,0.531,0.0,0.43799999999999994,0.696,111.398,5.0,YELLOW SUBMARINE,McCartney,Starr
104,129,SHE SAID SHE SAID,The Beatles,Revolver,156040,7,1966,54,0.32899999999999996,0.6779999999999999,3,0.9740000000000001,1,0.0344,0.10300000000000001,0.168,0.843,0.672,106.476,6.0,SHE SAID SHE SAID,Lennon,Lennon
105,130,GOOD DAY SUNSHINE,The Beatles,Revolver,129293,8,1966,60,0.77,0.496,11,0.9279999999999999,1,0.0468,0.7190000000000001,0.0,0.12300000000000001,0.5710000000000001,117.331,7.0,GOOD DAY SUNSHINE,McCartney,McCartney
106,131,AND YOUR BIRD CAN SING,The Beatles,Revolver,120493,9,1966,59,0.555,0.65,4,0.746,1,0.0282,0.0067,0.0491,0.23600000000000002,0.966,132.59,8.0,AND YOUR BIRD CAN SING,Lennon,Lennon
107,132,FOR NO ONE,The Beatles,Revolver,119813,10,1966,62,0.483,0.35100000000000003,1,0.63,0,0.0278,0.7829999999999999,0.0,0.115,0.713,81.208,9.0,FOR NO ONE,McCartney,McCartney
108,133,DOCTOR ROBERT,The Beatles,Revolver,134266,11,1966,51,0.39399999999999996,0.64,4,0.537,1,0.0488,0.16399999999999998,0.139,0.153,0.574,164.62599999999998,10.0,DOCTOR ROBERT,Lennon,Lennon
109,134,I WANT TO TELL YOU,The Beatles,Revolver,147973,12,1966,51,0.493,0.525,9,0.924,1,0.0315,0.182,4.4e-06,0.14800000000000002,0.449,127.492,11.0,I WANT TO TELL YOU,Harrison,Harrison
